id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
3097,8097,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8097,https://gateway.pinata.cloud/ipfs/Qmd3bEZj6Hp8QNc7KfPAUEtD7HZAWSiU8HFGzhvYfjTaQF,Scottish Bloom Background,Asguardian Wings,Albino Embrace Dragon,Ikat Scales,Crystal Cleaved Tail,Snail Antenna Ears,Prideful Eyes,Dracula Mouth,Springbok Horns,Amethyst Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:07.401+05,2021-10-17 18:19:07.401+05
3098,8098,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8098,https://gateway.pinata.cloud/ipfs/QmRgN5WXLAjYTycS168mdtqhQ731BCpYSoRRTSngtTxh3Q,Tomato Pink Background,Purple Prism Wings,Cheetah Dot Dragon,Ikat Scales,Bright droplet tail,Cotton Candy ears,Domineering Eyes,Gratified Mouth,Maleficient Horns,Purple S Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:07.402+05,2021-10-17 18:19:07.402+05
3099,8099,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8099,https://gateway.pinata.cloud/ipfs/QmZKakqRCs7sCoV7G5N8wJAaAR3t2TFMahK89gSPDqtFwb,Majorelle Blue Background,Angelic Blue Wings,Moon Stone Dragon,Maze Scales,Sea Horse Tail,Bone Ears,Arrogant Eyes,Triumphant Mouth,Ram Horns,Black Obsidian Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:07.402+05,2021-10-17 18:19:07.402+05
3100,8100,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8100,https://gateway.pinata.cloud/ipfs/QmZQcLEG4XRz2WVVZWNrM5YVJFmBJAnf9E7onHgcZuDnAC,Tangerine Background,Angelic Blue Wings,Lilac Blue Dragon,Green Vine Scales,Crooked Tail,Tired Minotaur Ears,Petrified Eyes,Angry Fang Mouth,Moose Horns,Blood Ruby Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:19:07.403+05,2021-10-17 18:19:07.403+05
3101,8101,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8101,https://gateway.pinata.cloud/ipfs/QmNTCQPZ6UVmQEadHc14M4DRZzwHQkWb4Hwm4bffud26Nb,Mademoiselle Background,Chestnut Wings,Amazonian Dragon,Noodle Scales,Stripy Rainforest Tail,Pine Leaf Ears,Prideful Eyes,Crooked Sabretooth Mouth,Springbok Horns,Golden Mohawk Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:19:07.404+05,2021-10-17 18:19:07.404+05
3102,8102,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8102,https://gateway.pinata.cloud/ipfs/QmTWmpR9comSg171UgNVsg1wHevQf4TC38kz97xhTuXYrg,Violet Blue Background,Transveral Blue Wings,Rosie Pink Dragon,Fishy Scales,Magenta Chameleon,Praen Ears,Winking Eyes,Yelling Mouth,Pudu Horns,Layered Opal Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:19:07.404+05,2021-10-17 18:19:07.404+05
3103,8103,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8103,https://gateway.pinata.cloud/ipfs/QmTd7AUe7wsUBJrDhtt5dDDZ68HEtGYftgFVsu3aDpUKTN,Aurora Dark Pink Background,Onyx Wings,Windstorm Dragon,Ikat Scales,Devil Spetum Tail,Pink Lamb Ears,Enlightened Eyes,Ecstatic Mouth,Pudu Horns,Cyclone Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:19:07.405+05,2021-10-17 18:19:07.405+05
3104,8104,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8104,https://gateway.pinata.cloud/ipfs/QmUGfBr92YMPNrRpnm2vPdxAEyQCZ2uj1pn2keqpNfNqFb,Majorelle Blue Background,Vampire Wings,Albino Embrace Dragon,Armadillo Armor Scales,Crystal Cleaved Tail,White Minotaur Ears,Spooked Eyes,Triumphant Mouth,Maleficent Spectrum Horns,Blood Ruby Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:07.407+05,2021-10-17 18:19:07.407+05
3105,8105,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8105,https://gateway.pinata.cloud/ipfs/QmYJoK4KwhtroTxRgXTi3VV8fbDZGpgiVpJvPKPxgBe81B,Violet Whirlpool Background,Bloodlust Wings,Corny Blue Dragon,Chain Link Scales,Aquatic Control Tail,Sad Bat Ears,Arrogant Eyes,Jolly Mouth,Springbok Horns,Black Phantom Hair Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:07.409+05,2021-10-17 18:19:07.409+05
3106,8106,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8106,https://gateway.pinata.cloud/ipfs/QmRacboexXjBLTeAFMKoeoANFtjJQRwEZRSCTiJSb5PSzA,Goldenrod Background,Angelic Blue Wings,Lightning Jade Dragon,Root Scales,Median Strip Tail,Cambion Ears,Enraged Eyes,Saucy Mouth,Orange Ram Horns,Turban Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:07.41+05,2021-10-17 18:19:07.41+05
3107,8107,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8107,https://gateway.pinata.cloud/ipfs/QmUnXFgwp7drXUT1dT9Es5DDNkj7wsLgenBepL2S9Y7uDk,Grape Background,Nightmare Wings,Smokey Sriracha Dragon,Aztec Scales,Godzilla Tail,Orc Teeth Ears,Enlightened Eyes,Sad Vampire Mouth,Splinter Horns,Scythe Hair Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:19:07.412+05,2021-10-17 18:19:07.412+05
3108,8108,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8108,https://gateway.pinata.cloud/ipfs/QmYvWWSbPK5gTwndoBC7QJHTnVr9h3RNyZwt1MKL9hmYqZ,Golden Orange Background,Wasp Wings,Aqua Spiral Dragon,Elliptical Scales,Quad Scale Tail,Flappy Sad Ears,Glaring Eyes,Antagonized Mouth,Ram Horns,Black Phantom Hair Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:19:07.413+05,2021-10-17 18:19:07.413+05
3109,8109,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8109,https://gateway.pinata.cloud/ipfs/QmXufRkytsPgWU7t5C8BojZhsdrWp2ysi1RNKPBnXN6toS,Palantinate Blue Background,Chestnut Wings,Vanilla Meteorite Dragon,Bubble Wrap Scales,Jaguar Tail,Snail Ears,Furious Eyes,Jolly Mouth,Splinter Horns,White Rhino Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:07.414+05,2021-10-17 18:19:07.414+05
3110,8110,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8110,https://gateway.pinata.cloud/ipfs/QmdNcHhJHdamrjjQjFRYiwT9NhFHkhg5x1BrpmkTJbZ9az,Deepink Coral Background,Chrono Wings,Bloodhound Dragon,Thunderclap Scales,Red Spark Tail,Rooster Comb Ears,Stressed Eyes,Talkative Mouth,Red Devil Horns,Cyclone Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:19:07.415+05,2021-10-17 18:19:07.415+05
3111,8111,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8111,https://gateway.pinata.cloud/ipfs/QmaidEDSa8rTtRgFtohkaCArqDTvxWTf3unKGqG3173fHJ,Magenta Background,Heavenly Light Wings,Lilac Blue Dragon,Pangolin Scales,Pine Leaf Tail,Tired Minotaur Ears,Piqued Eyes,Grumpy Mouth,Battle X Horns,Turban Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:19:07.415+05,2021-10-17 18:19:07.415+05
3112,8112,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8112,https://gateway.pinata.cloud/ipfs/Qmato2s9gEdkS2PkwsSMDiHXToLcjATm9vXhpd1NnVEk4d,Screamin Green Background,Emeral Wings,Rosie Pink Dragon,Aztec Scales,Magenta Chameleon,Praen Ears,Furious Eyes,Orc Mouth,Splinter Horns,Golden Mohawk Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:19:07.416+05,2021-10-17 18:19:07.416+05
3113,8113,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8113,https://gateway.pinata.cloud/ipfs/QmWemHha3hr9RzqFPPNoMzPZzk6r9KbvyC9j9MTNErAykg,Exposed Shadow Background,Desert Inferno Wings,Dark Shadow Dragon,Twirling Scales,Devil Scales Tail,Wildebeest Ears,Winking Eyes,Annoyed Mouth,Snail Shell Horns,Crimson Rhino Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:19:07.417+05,2021-10-17 18:19:07.417+05
3114,8114,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8114,https://gateway.pinata.cloud/ipfs/QmPJhuEk6DffGvuASQeevU7yNiTUApNmKdwmubmH8ULvdt,Maya Blue Background,Angelic Blue Wings,Fuscia Daisy Dragon,Checker Scales,Tefarn Hot Pink Tail,Cloudy Ears,Stressed Eyes,Annoyed Mouth,Springbok Horns,Sparky Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:07.418+05,2021-10-17 18:19:07.418+05
3115,8115,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8115,https://gateway.pinata.cloud/ipfs/QmbKfM1rt32wMf5BrL4A4NJxDiLXrGLuRaVji25Gya8xbv,Floral Green Background,Halloween Wings,Fuscia Daisy Dragon,Ikat Scales,Tefarn Hot Pink Tail,Thought Bubble Ears,Prideful Eyes,Yelling Mouth,Demon Horns,Crescent Spring Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:07.418+05,2021-10-17 18:19:07.418+05
3116,8116,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8116,https://gateway.pinata.cloud/ipfs/QmdqD79m59MTVg9VyzF56ecLASVtuTZJLNNqVwTte56bo9,Columbia Blue Background,Jezebel Wings,Neon Grape Dragon,Elliptical Scales,Flecked Scaly Tail,Parrot Beak Ears,Troubled Eyes,Cat Mouth,Snail Shell Horns,Apostrophe Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:19:07.419+05,2021-10-17 18:19:07.419+05
3117,8117,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8117,https://gateway.pinata.cloud/ipfs/QmSwY4zm3LAQMtHNWJMUjcS6uaFAbRmks7QugqLYu9yE4P,Persian Green Background,Golden Darner Wings,Gecko Dragon,Turtle Shell Scales,Spear Fish Trail,Brown Sheep Ears,Relieved Eyes,Yelling Mouth,Juvenile Minotaur Horns,Blood Ruby Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:07.42+05,2021-10-17 18:19:07.42+05
3118,8118,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8118,https://gateway.pinata.cloud/ipfs/QmTpXKETVUvA9Fu7sf2fV2XZbw3xMqBCXjkioost8JE3VG,Columbia Blue Background,Purple Prism Wings,Rosie Pink Dragon,Armadillo Armor Scales,Single Armor Tail,Lizard Feet Ears,Confused Eyes,Geeky Mouth,Minotaur Horns,Black Obsidian Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:19:07.421+05,2021-10-17 18:19:07.421+05
3119,8119,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8119,https://gateway.pinata.cloud/ipfs/Qmaw68UhD7fzetCfseaCBkB38pbH54oXzTnFjCZc8M23Uf,Turkish Background,Crimson Bat Wings,Ocean Blue Dragon,Diamondback Scales,Fletching Tail,Yale Genie Ears,Interested Eyes,Egoistic Mouth,Anchor Horns,White Rhino Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:19:07.421+05,2021-10-17 18:19:07.421+05
3120,8120,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8120,https://gateway.pinata.cloud/ipfs/QmY2BpuTgorhaqFaPMsgrViVbh6EH8VfioFjjnNF8qkzDZ,Olive Drab Background,Funky Green Wings,Moon Stone Dragon,Swirling Scales,Slithering Tail,White Hook Ears,Enlightened Eyes,Sad Vampire Mouth,Maleficient Horns,Emerald Crown Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:07.422+05,2021-10-17 18:19:07.422+05
3121,8121,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8121,https://gateway.pinata.cloud/ipfs/QmQ9XGTPcxiMb939NBbhrn5PW1WoXJSPLD4y3XgJgo18dh,Mossy Gold Background,Emerald Eyelet Wings,Undead Dragon,Shredded Scales,Snapped Tail,Ravaged Crown Ears,Blind Eyes,Courage Dog Mouth,Babirusa Horns,Drizzling Trauma Headpiece,Shire,Infected,Virus Infection,f,2021-10-17 18:19:07.423+05,2021-10-17 18:19:07.423+05
3122,8122,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8122,https://gateway.pinata.cloud/ipfs/QmbU7Nbpc5VxDyBBTSpzx6ALKZYz2pRs91gHq5wTeXgF2C,Grape Background,Fairy Rose Wings,Morion Lava Dragon,Diamondback Scales,Brown Twisted Tail,Zebu Horn Ears,Domineering Eyes,Lucky Mouth,Splinter Horns,Emerald Crown Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:19:07.424+05,2021-10-17 18:19:07.424+05
3123,8123,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8123,https://gateway.pinata.cloud/ipfs/QmerCLifqGTScLufbLAJ1vxoqBj8ZytxrPVxeFPFLiciWg,Pink Bloom Background,Emeral Wings,Gecko Dragon,Armadillo Armor Scales,Spade Tail,Fuscus Ears,Furious Eyes,Triumphant Mouth,Mountain Ram Horns,Fin Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:07.426+05,2021-10-17 18:19:07.426+05
3124,8124,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8124,https://gateway.pinata.cloud/ipfs/QmdCzCaPeUUypEbAN9jtgKLntMVXxb5LoDoZEYGYKwiGNg,Jungle Background,Heavenly Light Wings,Dark Shadow Dragon,Bubble Wrap Scales,Devil Scales Tail,Dobby Ears,Weeping Eyes,Nervous Mouth,Battle X Horns,Black Phantom Hair Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:19:07.427+05,2021-10-17 18:19:07.427+05
3125,8125,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8125,https://gateway.pinata.cloud/ipfs/Qme2SdT7MzEWi98cTTxnWdtsTq61WA7NJRf5aoM7N6kDaf,Floral Green Background,Asguardian Wings,Snow Leopard Dragon,Pangolin Scales,Spiky Cyan Tail,Cyan Scorpion Ears,Drowsy Eyes,Ecstatic Mouth,Ballistic Horns,Atlan Crown Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:19:07.428+05,2021-10-17 18:19:07.428+05
3126,8126,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8126,https://gateway.pinata.cloud/ipfs/QmUYdCvZYPY2RsZfo41ciXtyjgBd2zcv85svtPRakDqu5T,Glaucous Background,Serpent Wings,Neon Grape Dragon,Chevron Scales,Barbed Parakeet Tail,Emerald Tornado Ears,Sharp Eyes,Nervous Mouth,Devil Horns,Apostrophe Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:19:07.429+05,2021-10-17 18:19:07.429+05
3127,8127,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8127,https://gateway.pinata.cloud/ipfs/QmRhJitXH3Ksop4LZEakh2kV3XeuC6voi8ax68YagwLCCw,Tiffany Spring Background,Volcanic Wings,Scaly Taipan Dragon,Firey Scales,Triangular Snake Tail,Punch Ears,Prideful Eyes,Frisky Mouth,Snail Shell Horns,Vision Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:19:07.431+05,2021-10-17 18:19:07.431+05
3128,8128,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8128,https://gateway.pinata.cloud/ipfs/QmSLpVqpspkXEGFw88LqthJUVBJpaf5sM6UM2dKt5eajek,Ever Green Forest,Chestnut Wings,Tiger Stripped Dragon,Shackles Scales,Flamingo Neck Tail,War Horn Ears,Astonish Eyes,Menancing Mouth,G Horns,Tornado Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:19:07.433+05,2021-10-17 18:19:07.433+05
3129,8129,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8129,https://gateway.pinata.cloud/ipfs/QmWgGncpCVSFPsd7S4PAdLuyYZrBR7C91qJWYPfyAntqpu,Aurora Dark Pink Background,Chestnut Wings,Black Spectrum Dragon,Totem Scales,Neon Jade Tail,Fish Gills Ears,Glamorous Eyes,Crooked Sabretooth Mouth,Candy Horns,Golden Mohawk Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:07.436+05,2021-10-17 18:19:07.436+05
3130,8130,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8130,https://gateway.pinata.cloud/ipfs/QmXRy7HADrpa4avBqEzrv7hPLEoWQLcsaH6BKcL2CnPXWc,Frosted Tulip Background,Asguardian Wings,Black Spectrum Dragon,Crooked Scales,Neon Jade Tail,Fish Gills Ears,Stressed Eyes,Aggresive Mouth,Kudu Horns,Whirlpool Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:07.438+05,2021-10-17 18:19:07.438+05
3131,8131,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8131,https://gateway.pinata.cloud/ipfs/QmZhfmgzo7iMTBzZdKt5JWAWUTYqFcfb9C1F463vEyM9Kx,Blue-gray Background,Devilish Palm Wings,Morion Lava Dragon,Black Rose Scales,Demonic Charade Tail,Spatula Ears,Stressed Eyes,Grinning Mouth,Ballistic Horns,Whirlpool Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:19:07.446+05,2021-10-17 18:19:07.446+05
3132,8132,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8132,https://gateway.pinata.cloud/ipfs/QmdC7M71fmZnv6CuAnmcE1dHiwqxm3YMDw9NETGvBbJVLL,Palegreen Background,Rouge Bat Wings,Corny Blue Dragon,Swirling Scales,Spike Plate Tail,Fish Tail Ears,Enthusiastic Eyes,Melancholic Mouth,Small Stone Horns,Apostrophe Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:07.447+05,2021-10-17 18:19:07.447+05
3133,8133,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8133,https://gateway.pinata.cloud/ipfs/QmNfyBp6wP7PezqeoKoyDe8BJ2fiKRp1xwwroRK3k243Jt,Frosted Tulip Background,Pink Crescent Wings,Ocean Blue Dragon,Checker Scales,Blue Uchiwa Tail,Tulip Ears,Winking Eyes,Antagonized Mouth,Fire Horns,Apostrophe Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:19:07.448+05,2021-10-17 18:19:07.448+05
3134,8134,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8134,https://gateway.pinata.cloud/ipfs/QmZ7ZMBLnRZyNptAK6A68gN92GCpMgwNSmtt9v1Sd9RooW,Maya Blue Background,Angelic Blue Wings,Gecko Dragon,Argyle Scales,Tentacle Tail,Fortune Cookie Ears,Spooked Eyes,Orc Mouth,Fire Horns,Vision Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:07.45+05,2021-10-17 18:19:07.45+05
3135,8135,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8135,https://gateway.pinata.cloud/ipfs/QmX291B57n9pK6BpFFwwjpR9QZEGwGkSwQVLoE1fvJ4HLy,Chartreuse Background,Egyptian Teal Wings,Moon Stone Dragon,Maze Scales,Slithering Tail,Mermaid Ears,Cute Eyes,Egoistic Mouth,Juvenile Minotaur Horns,Fin Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:07.451+05,2021-10-17 18:19:07.451+05
3136,8136,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8136,https://gateway.pinata.cloud/ipfs/QmWpjNCafHj48rhaDXBV4UWo3TTVocYsWBGmNAT5SpygRJ,Salmon Background,Desert Inferno Wings,Smokey Sriracha Dragon,Noodle Scales,Foxy Tail,Injured Sheep Ears,Enraged Eyes,Talkative Mouth,Hell Boy Horns,Crescent Spring Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:19:07.452+05,2021-10-17 18:19:07.452+05
3137,8137,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8137,https://gateway.pinata.cloud/ipfs/QmTDaQAH8sBv4fZZBNWPPuGwNrpm9WEXuSP2YSknPNMJUn,Tomato Pink Background,Jezebel Wings,Neon Grape Dragon,Wicker Scales,Barbed Parakeet Tail,Emerald Tornado Ears,Troubled Eyes,Bulldog Mouth,Kudu Horns,Tornado Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:19:07.453+05,2021-10-17 18:19:07.453+05
3138,8138,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #8138,https://gateway.pinata.cloud/ipfs/QmWsYQsks3iUNptF1Xheuuwa65TtWrvff7qWzCfevKZzw8,Salmon Chablis Background,Golden Mocha Wings,Vanilla Meteorite Dragon,Buckbeaks Feather Scales,Creamy Godzilla Tail,Slashed Puffy Ears,Starry Night Eyes,Egoistic Mouth,Maleficient Horns,Star Sapphire Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:07.454+05,2021-10-17 18:19:07.454+05
3139,8139,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8139,https://gateway.pinata.cloud/ipfs/QmWWBvHkDPvmMfmYiDqkD6dTSxagkTPek9QPaP5aux7aKF,Amethyst Background,Silver Vulture Wings,Dark Shadow Dragon,Buckbeaks Feather Scales,Diamond Tail,Dobby Ears,Thinking Eyes,Antagonized Mouth,Thin Sheep Horns,Wreath Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:19:07.455+05,2021-10-17 18:19:07.455+05
3140,8140,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8140,https://gateway.pinata.cloud/ipfs/Qmb9tV5rFuU5F7oJC5pA2xB79VBLLzS5m5WH7DU6c8ZQFb,Luminant Green Background,Heavenly Light Wings,Windstorm Dragon,Aztec Scales,Devil Spetum Tail,Deer Ears,Goo Goo Eyes,Antagonized Mouth,Pudu Horns,Black Phantom Hair Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:19:07.455+05,2021-10-17 18:19:07.455+05
3141,8141,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #8141,https://gateway.pinata.cloud/ipfs/QmQx66q5rVAFTM5hc7zyRmQSQW56FS49hbGdCiTBCc3rkq,Amethyst Background,Onyx Wings,Cheetah Dot Dragon,Ash Scales,Bent arrow tail,Dripping Ears,Cute Eyes,Lucky Mouth,Thin Sheep Horns,Golden Mohawk Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:07.457+05,2021-10-17 18:19:07.457+05
