id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
1811,1811,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1811,https://gateway.pinata.cloud/ipfs/QmQTbE5N2XteDxPgmq7zBqtrFnDP3zhJB3qTH8EkHgWZE2,Pink Bloom Background,Heavenly Light Wings,Rosie Pink Dragon,Swirling Scales,Sliding Band Tail,Hippie Moustache Ears,Pretty Eyes,Nonchalant Mouth,Juvenile Minotaur Horns,Funky Mohican Hair Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.713+05,2021-10-17 18:18:48.713+05
1812,1812,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1812,https://gateway.pinata.cloud/ipfs/QmSkozvR9tYniJXR1v5hasfM6qi9p5PU38jZYxeSvs4MGW,Tomato Pink Background,Golden Mocha Wings,Rosie Pink Dragon,Kilt Scales,Single Armor Tail,Rime Ears,Petrified Eyes,Gnarly Mouth,Ballistic Horns,Golden Mohawk Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.714+05,2021-10-17 18:18:48.714+05
1813,1813,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1813,https://gateway.pinata.cloud/ipfs/Qmahtni5gBXTM1ovit5eTfQMKb7cjkhqahF4vxWRSSH515,Majorelle Blue Background,Spider Web Wings,Lilac Blue Dragon,Chain Link Scales,Pine Leaf Tail,Walrus Ears,Unamused Eyes,Growling Mouth,Kudu Horns,Layered Opal Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:48.715+05,2021-10-17 18:18:48.715+05
1814,1814,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1814,https://gateway.pinata.cloud/ipfs/Qme6cQWYWsfsKqu1ofjUmUwwcyAyWYcgqvZmuyX8D9zhZ8,Dark Oranges Background,Rouge Bat Wings,Bloodhound Dragon,Rubik Scales,Maroon Boomerang Tail,Cowboy Pistol Ears,Goo Goo Eyes,Drool Mouth,Springbok Horns,Fin Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:48.716+05,2021-10-17 18:18:48.716+05
1815,1815,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1815,https://gateway.pinata.cloud/ipfs/QmfZGBRqHRtzdguxJLNXBaK3vMJwXwpo2JJW3tjTNGQ3zn,Fire Pumpkin Background,Cyber Blade Wings,Windstorm Dragon,Rubik Scales,Fire Candy Tail,Goldfish Fin Ears,Unamused Eyes,Talkative Mouth,Snail Shell Horns,Conch Shell Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:48.719+05,2021-10-17 18:18:48.719+05
1816,1816,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1816,https://gateway.pinata.cloud/ipfs/QmSbXmUhSFu5gRxMJNyjiNANB8iAuTgX8V37kDxQcVVWW7,Frosted Tulip Background,Sapphire Wings,Rosie Pink Dragon,Black Rose Scales,Sting Pink Tail,Lizard Feet Ears,Spooked Eyes,Saucy Mouth,Ballistic Horns,Star Sapphire Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.725+05,2021-10-17 18:18:48.725+05
1817,1817,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1817,https://gateway.pinata.cloud/ipfs/QmdZ9bzj1iZTLucNomPa8YsroJAHiakyZdb39YT46ptVKA,Majorelle Blue Background,Asguardian Wings,Neon Grape Dragon,Aztec Scales,Green Flame Tail,Cloudy Chartreuse Ears,Enthusiastic Eyes,Nonchalant Mouth,Demon Horns,Emerald Crown Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:48.727+05,2021-10-17 18:18:48.727+05
1818,1818,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1818,https://gateway.pinata.cloud/ipfs/Qma8sHV1HSurNdax5nsn9uYzX4AAox3QeLZZ9daSmaBqnp,Glaucous Background,Sahara Wings,Snow Leopard Dragon,Chevron Scales,Pangolin Tail,Whipped Cream Ears,Pretty Eyes,Nonchalant Mouth,Ballistic Horns,Tuba Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.728+05,2021-10-17 18:18:48.728+05
1819,1819,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1819,https://gateway.pinata.cloud/ipfs/QmcrfTy1a8wQLRExAEF3HxumbAkZCdbjRZfjtMB8L2Wz2s,Orchid Sunrise Background,Evergreen Wings,Neon Grape Dragon,Chain Link Scales,Fin Plate Tail,Shamrock Sheep Ears,Goo Goo Eyes,Suffering Mouth,Ram Horns,Fin Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:48.729+05,2021-10-17 18:18:48.729+05
1820,1820,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1820,https://gateway.pinata.cloud/ipfs/QmNTTPW8ENYTVtUcWztKK43z8MJGLxwL8KwQKwDRnHaNPe,Verdun Background,Onyx Wings,Lightning Jade Dragon,Leis Scales,Median Strip Tail,Cambion Ears,Envy Eyes,Phlegmatic Mouth,Maleficient Horns,Golden Mohawk Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:48.729+05,2021-10-17 18:18:48.729+05
1821,1821,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1821,https://gateway.pinata.cloud/ipfs/QmR8aPhrTo8C1SkyrMEoyosvgqiCiA1C7aPsHqn879jn8d,Palantinate Blue Background,Rouge Bat Wings,Amazonian Dragon,Leis Scales,Stripy Rainforest Tail,Ripped Ballon Ears,Enlightened Eyes,Lucky Mouth,Small Stone Horns,Black Obsidian Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:48.73+05,2021-10-17 18:18:48.73+05
1822,1822,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1822,https://gateway.pinata.cloud/ipfs/QmYMM47jT1v3ZXcpck3aopu2d53XgDhSajgHEqPkRNiJKm,Screamin Green Background,Emeral Wings,Cheetah Dot Dragon,Wicker Scales,Bright droplet tail,Dripping Ears,Enraged Eyes,Smug Mouth,Candy Horns,Purple S Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:48.73+05,2021-10-17 18:18:48.73+05
1823,1823,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1823,https://gateway.pinata.cloud/ipfs/QmfL6cDrVEFyxb4rHwtYUkAhi7Jv2242eN7i2nBevTQBzY,Goldenrod Background,Golden Darner Wings,Lilac Blue Dragon,Turtle Shell Scales,Crooked Tail,Valkyrie Ears,Starry Night Eyes,Saucy Mouth,Battle X Horns,Funky Mohican Hair Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:48.731+05,2021-10-17 18:18:48.731+05
1824,1824,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1824,https://gateway.pinata.cloud/ipfs/QmTJz3PSJcVTAxtbbch6abugE1gfjmqZSGqVqV88tHwJXw,Tiffany Spring Background,Spotty FAYZ Wings,Cheetah Dot Dragon,Shackles Scales,Hungarian Horn Tail,Beetle ears,Interested Eyes,Grinning Mouth,Fire Horns,Conch Shell Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:48.732+05,2021-10-17 18:18:48.732+05
1825,1825,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1825,https://gateway.pinata.cloud/ipfs/QmRyETZZn2x3aCzwBoKuZzBsSYVxBue2SM2c2Pk7W56Tat,Fire Pumpkin Background,Volcanic Wings,Flamy Dragon,Scallops Scales,Yellow Spotted Tail,Moustache Ears,Scared Eyes,Melancholic Mouth,Mountain Ram Horns,Cyclone Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.732+05,2021-10-17 18:18:48.732+05
1826,1826,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1826,https://gateway.pinata.cloud/ipfs/QmVH1MTossrTWFFhb7LG1P4vLP72dKBN4HLp39A3LRwMjd,Peach Puff Background,Silver Vulture Wings,Vanilla Meteorite Dragon,Black Rose Scales,Creamy Godzilla Tail,Elk Ears,Furious Eyes,Saucy Mouth,Hell Boy Horns,Fin Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.733+05,2021-10-17 18:18:48.733+05
1827,1827,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1827,https://gateway.pinata.cloud/ipfs/QmVnjw2DSuCMGo5g6ooFWZbdeunSaGHhP3ieSEimYzipJX,Electric Cyclone Background,Raven Wings,Electro Yale Dragon,Obsidian Scales,Lodged Arrow Tail,Minimalist Tanto Ears,Arrogant Eyes,Yelling Mouth,Hell Boy Horns,Fin Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:48.734+05,2021-10-17 18:18:48.734+05
1828,1828,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1828,https://gateway.pinata.cloud/ipfs/QmXu6hLpLPuGFZjSTG7S2sv9pS3Z7zAsodEwx1KXst5soG,Orchid Sunrise Background,Dijon Wings,Cheetah Dot Dragon,Maze Scales,Bent arrow tail,Cotton Candy ears,Unamused Eyes,Suffering Mouth,Demon Horns,Amethyst Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:48.734+05,2021-10-17 18:18:48.734+05
1829,1829,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1829,https://gateway.pinata.cloud/ipfs/QmX1uUwd4Np6Pz4eP5hb6Gb7Ysgj2uW7sNYUgZVwJK51js,Pink Bloom Background,Volcanic Wings,Amazonian Dragon,Scallops Scales,Green Anaconda Tail,Parrot Feather Ears,Bewildered Eyes,Jubilant Mouth,Hell Boy Horns,Amethyst Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:48.736+05,2021-10-17 18:18:48.736+05
1830,1830,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1830,https://gateway.pinata.cloud/ipfs/QmZHe6GxvzuDkBRj3YvFrLh4P3cpaXTfTbJWCNqU55zDqF,Blue-gray Background,Crimson Bat Wings,Fuscia Daisy Dragon,Crooked Scales,Shark Teeth Tail,Dorito Ears,Enraged Eyes,Growling Mouth,Ram Horns,Carnelian Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:48.737+05,2021-10-17 18:18:48.737+05
1831,1831,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1831,https://gateway.pinata.cloud/ipfs/QmTBWfY6wHBPYuht2sMp6UzR6KLhxTYiocCuCERiTPr9tW,Maya Blue Background,Sapphire Wings,Flamy Dragon,Checker Scales,Golden Bolt Tail,Moustache Ears,Arrogant Eyes,Jubilant Mouth,Shadow Embrace Horns,Crimson Rhino Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.738+05,2021-10-17 18:18:48.738+05
1832,1832,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1832,https://gateway.pinata.cloud/ipfs/QmcA6n3M6DyDLdPbq6HzQVCAEs9SUmuT7SHeMwz8v5JN22,Golden Orange Background,Gargoyle Wings,Bloodhound Dragon,Firey Scales,True Devil Tail,Cowboy Pistol Ears,Confused Eyes,Gnarly Mouth,Minotaur Horns,Star Sapphire Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:48.739+05,2021-10-17 18:18:48.739+05
1833,1833,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1833,https://gateway.pinata.cloud/ipfs/QmWU4mUXHFtfrdZ8PdMhVEH1NPdrJUbPPZiN4m14nGwcRa,Palantinate Blue Background,Volcanic Wings,Rosie Pink Dragon,Basket Weave Scales,Sliding Band Tail,Cornflower Miotaur Ears,Domineering Eyes,Ecstatic Mouth,Hell Boy Horns,Crescent Spring Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.744+05,2021-10-17 18:18:48.744+05
1834,1834,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1834,https://gateway.pinata.cloud/ipfs/QmZP27nDhZD9f2D8rYywqCgwTDPYU1PP37jkGmtvxxGaEb,Tangerine Background,Flamingo Wings,Amazonian Dragon,Wavy Incensed Scales,Tiger Tail,Bulbasaur Ears,Astonish Eyes,Repentant Mouth,Maleficient Horns,Star Sapphire Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:48.749+05,2021-10-17 18:18:48.749+05
1835,1835,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1835,https://gateway.pinata.cloud/ipfs/QmXJR6qQTQA5MaPSWbzL8kZt7kBfuYHg6vgJJJM1MhCUcJ,Deep Pink Orchid Background,Aquatic Green Wings,Smokey Sriracha Dragon,Zig Zag Scales,Lance Tail,Mahogany Monster Ears,Goo Goo Eyes,Ulterior Mouth,Demon Horns,Apostrophe Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:48.75+05,2021-10-17 18:18:48.75+05
1836,1836,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1836,https://gateway.pinata.cloud/ipfs/QmdgSVtCMng1fCR2EJgmgxJrG5EDcp9mSnSwz2is7esxFr,Floral Background,Wasp Wings,Smokey Sriracha Dragon,Zebra Scales,Hepta Thorn Tail,Clenched Claw Ears,Pretty Eyes,Suffering Mouth,Hell Boy Horns,Sparky Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:48.751+05,2021-10-17 18:18:48.751+05
1837,1837,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1837,https://gateway.pinata.cloud/ipfs/QmWuzFUVynQwaQyD87GZ6xjgdpWMhHEgHJVG7roPJBuQjw,Pink Cyclone Background,Flamingo Wings,Morion Lava Dragon,Buckbeaks Feather Scales,Demonic Charade Tail,Poodle Ears,Puckered Eyes,Aggresive Mouth,Splinter Horns,Carnelian Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:48.751+05,2021-10-17 18:18:48.751+05
1838,1838,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1838,https://gateway.pinata.cloud/ipfs/QmSVVohK2FBLV3pRRguAHKDswpPVoYfkxxgbUk2AUJEy8J,Cream Green Background,Asguardian Wings,Tiger Stripped Dragon,Noodle Scales,Flamingo Neck Tail,Orange Pig Ears,Furious Eyes,Angry Fang Mouth,Splinter Horns,Black Phantom Hair Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:48.752+05,2021-10-17 18:18:48.752+05
1839,1839,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1839,https://gateway.pinata.cloud/ipfs/QmeCAAXgnqmZiEpsxfmdwy6MW9VsWPLx6J6SmWWdJ5QpGx,Maya Blue Background,Chestnut Wings,Black Spectrum Dragon,Totem Scales,Sea Weed Tail,Metal Spearhead Ears,Cute Eyes,Annoyed Mouth,Red Devil Horns,Turban Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.753+05,2021-10-17 18:18:48.753+05
1840,1840,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1840,https://gateway.pinata.cloud/ipfs/QmPZrB8veJjbpf17QFUZz3eqqa4omSZAxNfp83xvNTmngg,Salmon Chablis Background,Purple Prism Wings,Moon Stone Dragon,Argyle Scales,White Diez Tail,Mermaid Ears,Drowsy Eyes,Phlegmatic Mouth,Kudu Horns,Blood Ruby Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:48.754+05,2021-10-17 18:18:48.754+05
1841,1841,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1841,https://gateway.pinata.cloud/ipfs/Qmdf7TB77GVqJPpySiA2DxVDiu4KcWCfzusxjEY4DMQJ1S,Golden Orange Background,Thunderbolt Black Wings,Gecko Dragon,Buckbeaks Feather Scales,Tentacle Tail,Fuscus Ears,Unamused Eyes,Growling Mouth,Devil Horns,Cyclone Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:48.756+05,2021-10-17 18:18:48.756+05
1842,1842,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1842,https://gateway.pinata.cloud/ipfs/QmQH1x12qR73NQVYcs64oGUV6ofPH2Yegh7Qeh3FwgRyQK,Electric Indigo Background,Obsidian Wings,Morion Lava Dragon,Obsidian Scales,Candle Flame Tail,Bull Horns Ears,Troubled Eyes,Frisky Mouth,Minotaur Horns,Atlan Crown Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:48.758+05,2021-10-17 18:18:48.758+05
1843,1843,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1843,https://gateway.pinata.cloud/ipfs/QmeViFTQ7ULoLz4kqkRg6yg7hr45mR66caWdQ7woGMKoRX,Khaki Background,Chestnut Wings,Amazonian Dragon,Horus Eye Scales,Green Anaconda Tail,Bulbasaur Ears,Weeping Eyes,Egoistic Mouth,Beast Horns,Rhino Horn Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:48.76+05,2021-10-17 18:18:48.76+05
1844,1844,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1844,https://gateway.pinata.cloud/ipfs/QmeYcKMdhFibspSzqe2nDA5U7kpsjRRRxtv4Bxw9indewh,Baby Blue Background,Taffy Turquoise Wings,Black Spectrum Dragon,Beehive Scales,Sea Weed Tail,Metal Spearhead Ears,Domineering Eyes,Antagonized Mouth,Ballistic Horns,Blood Ruby Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.761+05,2021-10-17 18:18:48.761+05
1845,1845,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1845,https://gateway.pinata.cloud/ipfs/QmX4ejfnfQREuh3D8MYDtUJhJ8Sw62cEjmQAeDZyiw2vUz,Deep Sky Blue Background,Dijon Wings,Bloodhound Dragon,Pangolin Scales,Bloody Cyclone Tail,Cape Buffalo Ears,Narcissist Eyes,Nerdy Mouth,Splinter Horns,Star Sapphire Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:48.762+05,2021-10-17 18:18:48.762+05
1846,1846,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1846,https://gateway.pinata.cloud/ipfs/QmYNihNF5udUi2mzTi3YR9N3ZED2Qr8AbePLJqqci7Lcu9,Grape Background,Sahara Wings,Dark Shadow Dragon,Diamondback Scales,Orni Tail,Dobby Ears,Spooked Eyes,Yawning Mouth,Hell Boy Horns,Sparky Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:48.762+05,2021-10-17 18:18:48.762+05
1847,1847,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1847,https://gateway.pinata.cloud/ipfs/QmZL1ZUGtzT3RdNfBghcUGgkf9HZpPnZ8iMMYd4vFuA3Pe,Jungle Background,Wasp Wings,Rosie Pink Dragon,Fishy Scales,Pink Rose Tail,Hippie Moustache Ears,Troubled Eyes,Ulterior Mouth,Ram Horns,Fin Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.763+05,2021-10-17 18:18:48.763+05
1848,1848,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1848,https://gateway.pinata.cloud/ipfs/QmejNuHvzKccCpQWPExxz61HXtRFiCphhxEMt5qVY8m1b5,Sienna Gold Background,Asguardian Wings,Electro Yale Dragon,Diamondback Scales,Bayonet Tail,Sad Astronaut Ears,Domineering Eyes,Nervous Mouth,Minotaur Horns,Purple S Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:48.764+05,2021-10-17 18:18:48.764+05
1849,1849,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1849,https://gateway.pinata.cloud/ipfs/QmNaMgMRzuZYcNc7VMFcVkEezPbtGHgfhFigW9vA6ngfMA,Luminant Green Background,Parrot Wings,Moon Stone Dragon,Maze Scales,Sea Horse Tail,Bone Ears,Sharp Eyes,Angry Fang Mouth,Shadow Embrace Horns,Richie Rich Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:48.764+05,2021-10-17 18:18:48.764+05
1850,1850,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1850,https://gateway.pinata.cloud/ipfs/QmXCUJPCAYutVmM7WTh4kSC9NZomByAgDyEv9xXhWDJSzw,Orchid Sunrise Background,Ashy Twig Wings,Snow Leopard Dragon,Swirling Scales,Rattle Tail,Nile Cow Ears,Unamused Eyes,Egoistic Mouth,Maleficent Spectrum Horns,Wreath Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.765+05,2021-10-17 18:18:48.765+05
1851,1851,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1851,https://gateway.pinata.cloud/ipfs/QmdiLj5D6fdPZ42cuvNmAzMw5JMZf3JMFvA2XF6F6B5chQ,Royal Blue Background,Vampire Wings,Aqua Spiral Dragon,Scallops Scales,Crumpled Arrow Tail,Bison Ears,Confident Eyes,Growling Mouth,Thin Sheep Horns,Black Phantom Hair Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:48.766+05,2021-10-17 18:18:48.766+05
1852,1852,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1852,https://gateway.pinata.cloud/ipfs/QmRHYWw375XHryALkJxk3ToT7zLRckXJg7ZyFeACdgb6WJ,Deep Pink Orchid Background,Taffy Turquoise Wings,Bloodhound Dragon,Swirling Scales,Bloody Cyclone Tail,Blood Angel Ears,Astonish Eyes,Puerile Mouth,Mountain Ram Horns,Layered Opal Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:48.766+05,2021-10-17 18:18:48.766+05
1853,1853,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1853,https://gateway.pinata.cloud/ipfs/QmdScxMVqUArxE6tiGVrdu7ENrX4pKKsR4firLecRqh19E,Violet Whirlpool Background,Jezebel Wings,Albino Embrace Dragon,Checker Scales,Penta Crystal Tail,Moon Light Ears,Arrogant Eyes,Orc Mouth,Mountain Ram Horns,Atlan Crown Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.767+05,2021-10-17 18:18:48.767+05
1854,1854,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1854,https://gateway.pinata.cloud/ipfs/QmcZfb2yHGHv8uSDYnzyEXnUpfSPPbm4PwzZ7BPsG6qL17,Sienna Gold Background,Emeral Wings,Lightning Jade Dragon,Beehive Scales,Median Strip Tail,Goat Ears,Weary Eyes,Jubilant Mouth,Nebula Horns,Rhino Horn Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:48.768+05,2021-10-17 18:18:48.768+05
1855,1855,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1855,https://gateway.pinata.cloud/ipfs/QmVNeusAzCgRwFkpd72z4rnuYz7v6NvThrRBYiv47utF9K,Columbia Blue Background,Onyx Wings,Ocean Blue Dragon,Zig Zag Scales,Clasped Thorn Tail,Monster Ears,Bored Eyes,Cat Mouth,Thin Sheep Horns,Vision Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:18:48.769+05,2021-10-17 18:18:48.769+05
